Wall time,Step,Value
1607119771.1771116,1900,0.5915535688400269
1607119966.890953,4300,0.5153397917747498
1607119991.5030284,4600,0.5085810422897339
1607120082.9857886,5700,0.48989593982696533
1607120207.8709066,7200,0.4719645082950592
1607120400.064661,9500,0.45344188809394836
1607120909.5976474,15600,0.4255784749984741
1607120934.7696078,15900,0.4249778091907501
1607121010.194752,16800,0.4222504496574402
1607121529.2384765,23000,0.40941721200942993
1607121570.9015274,23500,0.4086894989013672
1607121747.1000476,25600,0.4057987928390503
1607121847.1079245,26800,0.4044475257396698
1607121897.4346805,27400,0.4034833610057831
1607122191.4165113,30900,0.3988789916038513
1607122208.1518264,31100,0.3987078368663788
1607122275.0090132,31900,0.39784684777259827
1607122518.869763,34800,0.3948449194431305
1607122685.6190507,36800,0.3929758667945862
1607123140.6277814,42200,0.38891395926475525
1607123149.055156,42300,0.3888665735721588
1607123315.3581288,44300,0.38739728927612305
1607123466.239796,46100,0.38633501529693604
1607123584.297972,47500,0.3854321539402008
1607124104.154354,53700,0.38192370533943176
1607124331.1625283,56400,0.3806206285953522
1607124465.7421854,58000,0.3797333538532257
1607124524.601643,58700,0.37944453954696655
1607124532.869407,58800,0.37936875224113464
1607124808.9507515,62100,0.377889484167099
1607124927.1809146,63500,0.377301961183548
1607124994.5297077,64300,0.37708547711372375
1607125036.6320333,64800,0.37688693404197693
1607125053.6072054,65000,0.3768309950828552
1607125155.1146204,66200,0.37659764289855957
1607125239.2890737,67200,0.3762286603450775
1607125598.3842757,71500,0.3748336732387543
1607125665.8201811,72300,0.37458011507987976
1607125733.3374987,73100,0.3743138015270233
1607125951.4046676,75700,0.3734133839607239
1607126026.8981981,76600,0.37315547466278076
1607126059.2337432,77000,0.3730473816394806
1607126075.917637,77200,0.37298762798309326
1607126194.110169,78600,0.37247392535209656
1607126210.843747,78800,0.37239179015159607
1607126269.33969,79500,0.372109055519104
1607126336.5182147,80300,0.371871680021286
1607126387.3917544,80900,0.3717455565929413
1607126622.6308634,83700,0.370895653963089
1607127536.78083,94600,0.3679092228412628
1607127670.866517,96300,0.36749860644340515
1607127746.0421717,97200,0.3673133850097656
1607127754.4477513,97300,0.3672912120819092
1607127803.7289968,97900,0.36714568734169006
1607127849.4899292,98500,0.3669918179512024
1607127999.73882,100300,0.3666064739227295
